date.coll,date.hatch,date.inject,tube #,temp,dose,rep,UID,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,final,is.sup,date.pmd,stage.pmd,old.date.died,old.died.as,extraction date,DATE.FROZE,date.wander,BT,CY,ng/uL,date.pupate,source,species,date.dead
14-Jul,14-Jul,22-Jul,p,40,PBS,1,1,0.151,0.189,0.502,0.6416,0.873,0.854,0.863,1.4347,2.863,4.1273,5.8655,6.5383,5.0538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Aug,,,,6-Aug,RM,MS,
14-Jul,14-Jul,22-Jul,w,40,para,1,2,,0.112,0.1967,0.3102,0.4819,0.5191,0.6484,0.9183,1.437,2.2862,2.28,2.1264,2.489,2.9937,3.0471,3.7894,4.5705,5.1425,5.52318,5.9281,5.7517,5.8736,5.8736,5.669,5.5879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,13-Aug,6,13-Aug,,27-Jul,13-Aug,,+++,+++,,,RM,MS,
14-Jul,15-Jul,22-Jul,w,25,para,1,3,,0.141,0.3332,0.6064,1.05,0.9983,0.9134,1.23,1.733,2.255,2.6955,2.7996,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,em,,,,,,27-Jul,4-Aug,,+++,+++,,,RM,MS,
14-Jul,15-Jul,23-Jul,p,25,PBS,1,4,,0.135,0.0943,0.1322,0.2509,0.4897,0.463,0.443,0.5812,0.8536,1.2329,1.5416,1.482,1.4198,1.51,1.992,2.6166,3.2618,4.37894,4.0815,4.116,3.8809,3.8809,3.5645,3.3823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,13-Aug,wand,,,,13-Aug,13-Aug,,,,,RM,MS,
14-Jul,15-Jul,23-Jul,1,25,0.5,1,5,,0.126,0.2394,0.4761,0.649,0.6193,0.586,0.767,1.5038,2.3503,3.1354,4.7738,6.0071,5.1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wand,,,,,,27-Jul,3-Aug,2-Aug,+++,+,,,RM,MS,
14-Jul,15-Jul,23-Jul,1,40,0.5,1,6,,0.15,0.2689,0.4164,0.4076,0.7808,0.7316,1.1,1.9519,2.795,3.7616,5.2036,5.6468,6.1936,5.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wand,,,,,,28-Jul,4-Aug,3-Aug,+++,++,,,RM,MS,
14-Jul,15-Jul,23-Jul,1,25,1,1,7,,0.096,0.2048,0.3939,0.627,0.6289,0.962,1.4926,2.393,3.223,4.5475,5.9856,5.4305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wand,,,,,,,2-Aug,1-Aug,+++,+,,,RM,MS,
14-Jul,15-Jul,23-Jul,1,40,1,1,8,,0.122,0.2,0.4487,0.3741,0.6189,0.628,0.589,0.8126,1.102,1.659,2.777,3.6601,3.8025,3.7192,3.5483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wand,,,,7-Aug,,,7-Aug,4-Aug,,,,,RM,MS,
14-Jul,15-Jul,24-Jul,1,25,0.5,,9,,,0.104,0.0799,0.0898,0.087,0.1645,0.2916,0.407,0.3758,0.4226,0.8939,1.389,1.7629,1.6713,1.7981,2.7023,4.0051,5.85478,7.5248,8.8594,8.6502,8.6502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,28-Jul,11-Aug,10-Aug,0,0,,,RM,MS,
14-Jul,15-Jul,24-Jul,p,25,PBS,,10,,,0.109,0.0755,0.076,0.0622,0.0617,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29-Jul,4,29-Jul,4,,,,,,,,RM,MS,
